Image Name,image_id,Gender,Pitch Angle,section
4e9e5d5c-4caa-58bb-9605-636a970fb190.jpg,4e9e5d5c-4caa-58bb-9605-636a970fb190,Woman,19.74308395,Theater
0f0dcf7e-0f55-53e4-abaf-0d5a9ecfb385.jpg,0f0dcf7e-0f55-53e4-abaf-0d5a9ecfb385,Man,-15.54608727,Music
0a73f9d0-03eb-520d-adca-8bd1c4edd945.jpg,0a73f9d0-03eb-520d-adca-8bd1c4edd945,Woman,-2.496412992,Style
5c5b0aac-2a53-52bf-9272-83e44cffadee.jpg,5c5b0aac-2a53-52bf-9272-83e44cffadee,Man,4.836677551,Television
4d49f77c-1037-5c4c-84ca-85065b01684e.jpg,4d49f77c-1037-5c4c-84ca-85065b01684e,Man,15.09290695,Television
0a9e0198-69e4-5283-959d-9da050b0a475.jpg,0a9e0198-69e4-5283-959d-9da050b0a475,Woman,-1.167829871,Television
0cafe186-69f0-55e4-a39a-6e8cce20873a.jpg,0cafe186-69f0-55e4-a39a-6e8cce20873a,Man,21.56471443,Music
4ec29e5e-a00a-5911-91f6-77c53fe3e89f.jpg,4ec29e5e-a00a-5911-91f6-77c53fe3e89f,Man,-3.254356623,Health
5e4c64df-3907-5a3a-a5dd-7fe6c2839913.jpg,5e4c64df-3907-5a3a-a5dd-7fe6c2839913,Man,-1.119180083,Television
3dbf2113-4768-5694-9fc0-52d5a7c0f96d.jpg,3dbf2113-4768-5694-9fc0-52d5a7c0f96d,Man,1.49655056,Media
4e0d35ab-7b83-516b-8411-bf461257bb74.jpg,4e0d35ab-7b83-516b-8411-bf461257bb74,Woman,28.60615921,Books
4f532c11-fb0a-5d4a-8a68-ee4f73f7bd92.jpg,4f532c11-fb0a-5d4a-8a68-ee4f73f7bd92,Man,0.181826219,Food
2d88756e-5d3a-558a-8ab1-6dfee44bb86e.jpg,2d88756e-5d3a-558a-8ab1-6dfee44bb86e,Woman,12.99469566,Style
2f557e22-969a-5f2f-9b65-5b3b41d17f95.jpg,2f557e22-969a-5f2f-9b65-5b3b41d17f95,Man,6.236244202,Opinion
