Image Name,Head-to-Body Height Ratio,image_id,section,Gender
150beddb-80a6-55cc-bc32-fbabedd8c8e9.jpg,0.283335305,150beddb-80a6-55cc-bc32-fbabedd8c8e9,Dance,Man
11af55a5-5e8b-5bcc-b23c-b62a0c2ecd92.jpg,0.269287184,11af55a5-5e8b-5bcc-b23c-b62a0c2ecd92,Health,Man
4e9e5d5c-4caa-58bb-9605-636a970fb190.jpg,0.118472819,4e9e5d5c-4caa-58bb-9605-636a970fb190,Theater,Woman
3b54e761-8bbb-544a-b2a6-a0f4c93eb0a5.jpg,0.667126695,3b54e761-8bbb-544a-b2a6-a0f4c93eb0a5,Dance,Woman
847e27d1-66ee-5a0e-b8c8-09245319145b.jpg,0.58354935,847e27d1-66ee-5a0e-b8c8-09245319145b,Global Business,Man
04c52a41-d68f-56f7-9a62-e1fe314b3b1d.jpg,0.18350435,04c52a41-d68f-56f7-9a62-e1fe314b3b1d,Education,Woman
0f0dcf7e-0f55-53e4-abaf-0d5a9ecfb385.jpg,0.454677917,0f0dcf7e-0f55-53e4-abaf-0d5a9ecfb385,Music,Man
0a73f9d0-03eb-520d-adca-8bd1c4edd945.jpg,0.368980989,0a73f9d0-03eb-520d-adca-8bd1c4edd945,Style,Woman
75d0107a-e0ba-5086-91c2-dfb71ae1c40f.jpg,0.265454504,75d0107a-e0ba-5086-91c2-dfb71ae1c40f,Real Estate,Man
4d49f77c-1037-5c4c-84ca-85065b01684e.jpg,0.283236437,4d49f77c-1037-5c4c-84ca-85065b01684e,Television,Man
6083f931-617f-5083-b3f6-b9fa7d824354.jpg,0.999036724,6083f931-617f-5083-b3f6-b9fa7d824354,Education,Man
c905825a-fa82-5503-82b7-41d5e2fd2abe.jpg,0.347420714,c905825a-fa82-5503-82b7-41d5e2fd2abe,Media,Man
b7499ba8-c86a-5bfb-91a4-7721c2076873.jpg,0.340776156,b7499ba8-c86a-5bfb-91a4-7721c2076873,Theater,Man
64d97b15-b142-5a1b-aa6b-c0270d0a6300.jpg,0.267431519,64d97b15-b142-5a1b-aa6b-c0270d0a6300,Technology,Man
5bfb2ce5-1fd1-5bc2-befb-f9b9db24d96f.jpg,0.191618021,5bfb2ce5-1fd1-5bc2-befb-f9b9db24d96f,Style,Man
2d034103-c667-537c-8331-0bceff160352.jpg,0.457440759,2d034103-c667-537c-8331-0bceff160352,Global Business,Man
87ae5efb-f7bb-5350-9f21-905f52788024.jpg,0.181098905,87ae5efb-f7bb-5350-9f21-905f52788024,Travel,Man
1b54cf48-3974-5aac-8dd4-c50d251c4c69.jpg,0.221309986,1b54cf48-3974-5aac-8dd4-c50d251c4c69,Education,Woman
0e0ec21d-9ce2-57cd-ac0d-0df72024c8ca.jpg,0.596520318,0e0ec21d-9ce2-57cd-ac0d-0df72024c8ca,Education,Man
0a9e0198-69e4-5283-959d-9da050b0a475.jpg,0.310904098,0a9e0198-69e4-5283-959d-9da050b0a475,Television,Woman
7f8859c9-055f-5039-b4c2-a092e54eb00c.jpg,0.472363853,7f8859c9-055f-5039-b4c2-a092e54eb00c,Travel,Man
0cafe186-69f0-55e4-a39a-6e8cce20873a.jpg,0.308858626,0cafe186-69f0-55e4-a39a-6e8cce20873a,Music,Man
75be285d-b7f9-542b-bcd3-4c4bb75ebe6d.jpg,0.777665286,75be285d-b7f9-542b-bcd3-4c4bb75ebe6d,Science,Man
8a050fac-180b-592c-a011-22f6ade06849.jpg,0.554668937,8a050fac-180b-592c-a011-22f6ade06849,Science,Man
